-7148,1988,3574,18,13,-27,-8144,-1449,923,22,3,32,NoMove
-7152,1999,3600,-3,7,-13,-8197,-1452,968,-1,-1,32,NoMove
-7166,1927,3571,-18,-3,4,-8199,-1498,901,-18,2,29,NoMove
-7105,1867,3556,-18,-13,8,-8192,-1561,927,-10,11,23,NoMove
-7084,1810,3528,6,-33,-1,-8123,-1570,923,24,23,8,NoMove
-7107,1834,3450,38,-46,-7,-8017,-1572,966,56,31,-10,NoMove
-7165,1894,3312,67,-50,-2,-7983,-1548,981,86,37,-27,NoMove
-7217,1901,3252,62,-41,6,-7991,-1509,1002,118,34,-46,NoMove
-7228,1900,3260,43,-23,14,-8100,-1430,1043,130,24,-52,NoMove
-7223,1835,3369,17,1,13,-8198,-1393,1026,133,4,-48,NoMove
-7189,1813,3444,6,15,6,-8253,-1284,1014,96,-11,-40,NoMove
-7114,1746,3567,-5,14,-6,-8304,-1301,975,31,-28,-30,NoMove
-7014,1717,3566,-5,7,-14,-8206,-1301,936,-31,-31,-27,NoMove
-7037,1734,3568,10,-6,-16,-8122,-1348,870,-71,-20,-32,NoMove
-7098,1752,3522,20,-10,-14,-8045,-1442,899,-61,-7,-38,NoMove
-7168,1832,3480,39,-12,-12,-7977,-1457,956,9,5,-45,NoMove
-7176,1920,3431,47,-7,-4,-8001,-1421,985,70,6,-50,NoMove
-7111,1990,3442,33,-3,7,-8068,-1337,983,105,1,-51,NoMove
-7051,1959,3493,14,-5,20,-8173,-1257,990,89,-16,-45,NoMove
-7006,1894,3528,14,-11,27,-8159,-1206,899,45,-31,-39,NoMove
-7160,1910,3440,47,-18,28,-8245,-1161,737,-53,-26,-28,NoMove
-7357,1992,3391,69,-5,24,-8387,-1135,699,-125,3,-11,NoMove
-7336,2072,3504,31,24,29,-8292,-1288,907,-141,56,22,NoMove
-7140,2109,3554,-26,37,39,-8187,-1447,1105,-52,89,50,NoMove
-7088,1992,3561,-96,31,54,-8074,-1628,1172,141,81,80,NoMove
-7208,1864,3604,-105,2,59,-8014,-1574,997,252,49,84,NoMove
-7310,1724,3390,-71,-42,65,-8141,-1417,1035,288,10,52,NoMove
-7516,1650,3106,15,-50,55,-8228,-1192,905,198,-16,9,NoMove
-7474,1761,3031,92,-2,32,-8136,-1084,763,-31,-14,-50,NoMove
-7236,1719,3274,62,50,18,-8119,-1206,812,-148,15,-72,NoMove
-7051,1759,3575,-28,102,-10,-8177,-1415,830,-146,52,-54,NoMove
-7090,1806,3747,-101,107,-35,-8234,-1439,826,-56,69,-19,NoMove
-7077,1912,3800,-168,81,-50,-8212,-1485,843,89,71,23,NoMove
-7085,1874,3730,-229,19,-33,-8125,-1435,885,206,57,59,NoMove
-7108,1707,3493,-184,-18,-22,-7984,-1299,746,185,42,56,NoMove
-7069,1547,3244,-56,-28,-24,-7761,-1233,626,51,43,19,NoMove
-7026,1537,3129,23,-17,-41,-7690,-1317,672,-34,53,-15,NoMove
-7042,1643,3146,59,5,-69,-7784,-1405,711,-48,70,-34,NoMove
-7116,1715,3147,60,10,-87,-7874,-1416,736,1,76,-20,NoMove
-7277,1817,3155,80,3,-95,-8199,-1351,715,75,75,29,NoMove
-7377,1893,3201,118,5,-100,-8306,-1273,610,64,66,70,NoMove
-7218,2059,3412,138,24,-91,-8219,-1300,656,-2,70,104,NoMove
-7108,2182,3555,135,38,-78,-8069,-1432,732,-28,83,107,NoMove
-6995,2238,3662,69,40,-51,-8087,-1561,791,14,102,95,NoMove
-6898,2224,3758,21,27,-26,-8168,-1583,900,78,103,87,NoMove
-6847,2142,3722,-7,0,11,-8264,-1559,970,147,77,73,NoMove
-6862,2116,3663,5,-15,34,-8313,-1453,972,130,48,54,NoMove
-6887,2125,3636,17,-30,53,-8355,-1295,953,36,16,23,NoMove
-7002,2105,3641,5,-39,64,-8276,-1304,922,-140,-12,-22,NoMove
-7154,2077,3596,-13,-47,59,-8232,-1332,902,-233,-13,-48,NoMove
-7300,2023,3516,-33,-50,48,-8181,-1385,905,-271,-4,-59,NoMove
-7373,2037,3391,-40,-40,40,-8173,-1410,923,-236,11,-46,NoMove
-7270,2074,3402,-91,-11,48,-8081,-1418,975,-142,31,-9,NoMove
-7126,2015,3493,-145,13,64,-8040,-1447,1054,-58,40,20,NoMove
-7078,1896,3536,-217,28,86,-8008,-1475,1140,29,39,46,NoMove
-7131,1770,3619,-258,27,95,-8061,-1540,1106,64,28,55,NoMove
-7353,1655,3542,-242,16,87,-8287,-1527,981,73,6,68,NoMove
-7417,1593,3491,-195,19,68,-8458,-1570,882,46,-3,78,NoMove
-7237,1680,3492,-162,50,53,-8482,-1636,927,64,3,85,NoMove
-7083,1631,3517,-197,69,59,-8338,-1738,1052,141,17,80,NoMove
-7047,1611,3545,-221,78,59,-8237,-1768,941,282,30,54,NoMove
-7053,1662,3568,-221,69,57,-8147,-1769,882,369,29,27,NoMove
-7081,1710,3539,-228,57,63,-8069,-1708,1031,446,8,-16,NoMove
-7060,1646,3395,-194,44,64,-7994,-1399,1114,416,-29,-63,NoMove
-7061,1642,3357,-141,42,57,-7942,-1003,783,138,-90,-114,NoMove
-7084,1607,3323,-87,43,50,-7911,-1035,520,-190,-113,-128,NoMove
-7099,1637,3291,-61,38,44,-7930,-1288,564,-517,-114,-115,NoMove
-7106,1618,3242,-24,18,34,-7937,-1434,644,-580,-103,-92,NoMove
-7158,1623,3236,8,-3,28,-7915,-1620,645,-481,-84,-53,NoMove
-7219,1610,3282,77,-28,10,-7938,-1690,594,-322,-61,-22,NoMove
-7250,1677,3309,137,-37,-10,-8024,-1652,547,-184,-48,4,NoMove
-7209,1797,3328,186,-40,-28,-8072,-1524,536,-68,-44,8,NoMove
-7183,1830,3302,191,-40,-30,-8095,-1517,572,-38,-40,-11,NoMove
-7256,1794,3364,185,-38,-25,-8152,-1438,628,-42,-23,-48,NoMove
-7381,1748,3377,192,-33,-28,-8273,-1459,625,-48,-4,-68,NoMove
-7471,1791,3530,185,-19,-42,-8369,-1409,651,-14,21,-82,NoMove
-7281,1837,3692,150,-10,-46,-8306,-1400,732,37,39,-84,NoMove
-7017,1867,3744,108,-4,-39,-8078,-1359,692,109,63,-80,NoMove
-6906,1901,3787,74,-8,-26,-7959,-1302,772,150,77,-71,NoMove
-6940,1875,3803,33,-22,-3,-7936,-1297,784,191,90,-50,NoMove
-7072,1852,3749,20,-27,0,-8024,-1254,799,214,97,-26,NoMove
-7241,1876,3631,10,-27,-5,-8138,-1268,871,225,98,11,NoMove
