6632,314,-7238,7490,9813,-2151,-16,-5,83,-211,436,1346
6594,1344,-6396,7441,8859,-1866,-14,-14,85,-129,530,1731
6306,1974,-5649,7358,7326,-1428,-13,-28,71,32,598,2142
6042,2174,-5124,7282,6454,-1106,-7,-42,58,199,621,2387
5710,2248,-4331,7056,5541,-469,0,-62,2,355,623,2660
5484,2334,-3570,6934,4921,-196,-8,-48,-2,453,610,2830
5123,2889,-2697,6698,4099,20,-14,-49,4,579,589,3050
4828,3276,-2283,6400,3455,230,-10,-49,-15,688,581,3230
4345,3978,-1592,6065,2480,671,-5,-40,-17,722,554,3465
4001,4677,-897,5977,1574,800,0,-36,-10,757,518,3604
3543,5426,183,5616,659,827,3,-24,-28,983,505,3739
3086,5965,518,5228,166,829,-6,-23,-5,1142,517,3849
2459,7324,567,4930,-559,936,-15,-19,40,1224,546,3977
2256,8379,831,4524,-1339,934,-15,-22,47,1150,599,4089
2275,9690,2022,4063,-2158,1231,-9,-19,24,953,620,4154
1933,10172,2392,3940,-3888,1414,0,-3,-13,945,620,4162
1671,10888,2228,4048,-4944,1508,7,1,-17,1155,623,4086
1643,12491,2602,4046,-5912,1782,20,-15,-33,1425,640,3947
1816,13693,3485,3908,-6596,1683,20,-11,-54,1597,655,3819
1819,14714,4055,3813,-7151,1498,11,-15,-42,1795,655,3623
1843,15298,4084,3683,-7457,1952,4,-28,-8,1751,662,3446
1970,16092,4011,3590,-8830,2542,-3,-29,0,1329,659,3158
2141,16614,4354,3618,-9949,2568,-6,-20,-11,1110,627,2869
2264,16988,4707,3781,-10875,2623,-3,-23,-31,1058,556,2399
2091,17090,4709,3788,-11324,3036,8,-17,-38,980,508,2023
1864,17425,4602,3630,-12011,3574,16,-16,-53,551,448,1438
1697,17613,4479,3482,-12859,3806,17,-14,-62,83,360,928
1431,17558,4315,3284,-13873,3922,13,-7,-40,-426,182,124
1151,17282,4241,3221,-13958,3845,3,2,-21,-598,32,-532
916,16558,3915,3148,-13022,3623,-11,7,24,-692,-138,-1394
752,15863,3491,2987,-12006,3411,-18,6,48,-804,-234,-1972
834,15028,2980,2779,-10728,3089,-24,7,60,-989,-326,-2619
977,14377,2622,2676,-9886,2793,-27,13,64,-1069,-388,-3028
1211,13548,2245,2793,-8716,2526,-31,12,63,-1014,-450,-3456
1399,12809,2071,2909,-7827,2417,-36,9,73,-910,-485,-3699
1680,11385,1767,3290,-6839,2290,-43,18,95,-696,-539,-3954
2127,10148,1471,3377,-5879,2203,-42,15,106,-540,-589,-4116
2597,8954,1362,3494,-4855,2170,-33,6,108,-508,-647,-4250
2885,8236,1260,3669,-3869,2058,-26,10,100,-631,-711,-4371
3402,7848,1072,3645,-3352,1890,-27,15,93,-657,-747,-4454
3865,7688,807,3628,-2435,1674,-38,26,93,-514,-790,-4515
4236,7346,406,3721,-1518,1563,-48,27,119,-360,-816,-4506
4388,6885,123,3962,-197,1198,-55,37,136,-254,-835,-4414
4529,5747,-305,4383,620,934,-48,44,122,-191,-827,-4297
4833,4653,-801,4945,2519,704,-23,57,52,-276,-821,-4080
5048,3245,-1328,5631,3409,733,1,60,-6,-442,-794,-3843
5526,1853,-1892,6352,4626,549,23,68,-74,-641,-723,-3453
5805,1060,-2384,6702,5560,485,26,74,-89,-725,-658,-3128
6168,199,-3189,6944,6851,134,19,74,-73,-770,-575,-2653
6449,-286,-3678,7158,7732,-73,16,67,-45,-759,-526,-2245
6635,-777,-4099,7451,8640,-248,14,43,-16,-707,-444,-1628
6696,-1159,-4261,7575,9179,-438,15,25,-28,-663,-366,-1139
6761,-1112,-4347,7621,9205,-754,22,-2,-71,-573,-244,-485
6745,-605,-4281,7644,8960,-1006,25,-4,-106,-458,-149,-12
6527,230,-4075,7631,8544,-1177,21,-9,-108,-382,-33,539
6338,862,-3896,7572,7851,-1097,12,-21,-87,-361,59,897
6168,1582,-3573,7423,6840,-1016,-8,-35,-52,-294,163,1301
6059,2075,-3240,7383,6044,-874,-22,-45,-40,-179,228,1539
6036,2734,-2827,7282,5479,-578,-31,-45,-45,-64,287,1803
6006,3236,-2667,7125,5067,-217,-31,-56,-59,-14,325,1978
5967,3571,-2600,7204,4595,70,-33,-64,-59,49,362,2151
5901,3701,-2263,7224,3784,211,-32,-55,-62,192,402,2410
5670,3967,-1468,7257,3471,394,-27,-32,-76,288,417,2598
5369,4499,-973,7062,2773,712,-19,-28,-75,302,435,2824
5134,5540,-903,6928,2066,1015,-18,-32,-53,306,433,2966
4913,6173,-917,6699,1236,1143,-22,-25,-29,354,411,3136
4614,6563,-389,6349,588,1208,-24,-15,-17,442,391,3291
4422,6936,296,5974,-35,1276,-22,-5,-28,569,373,3478
3940,7626,675,5780,-472,1355,-14,-3,-40,605,375,3627
3671,8507,593,5316,-1306,1427,-1,18,-49,582,388,3789
3374,9520,347,5116,-2147,1329,14,13,-80,578,384,3875
3284,9790,1070,4882,-3251,1264,27,-2,-128,716,380,3931
2835,10176,2073,4682,-4033,1519,36,-11,-146,877,397,3942
2230,11032,2775,4389,-5191,1692,43,-4,-135,1049,424,3914
1826,12131,3023,4228,-6140,1654,40,1,-117,1178,422,3852
1599,13691,3678,4099,-7340,1690,27,7,-92,1302,401,3668
1597,14676,4467,4033,-8491,2008,13,21,-69,1304,402,3465
1444,15999,5378,3952,-10404,2508,5,49,-30,1054,411,3088
1268,17034,5649,3829,-11553,2651,12,36,-35,810,394,2676
1359,18408,5566,3889,-13219,2649,16,54,-28,525,309,1995
1471,18810,5716,3910,-14057,2711,16,82,-9,363,240,1393
1415,18752,5514,3895,-14479,2730,20,110,-17,153,158,515
1215,18324,5150,3744,-14421,2772,25,103,-37,-39,112,-177
974,17401,4626,3479,-13859,2530,27,102,-43,-208,55,-1105
783,16395,4199,3245,-12994,2355,26,73,-24,-189,19,-1765
683,15276,3484,2989,-11706,2266,17,25,-7,-122,-3,-2359
574,14578,3156,2619,-10240,2338,0,-37,25,-29,-26,-3037
474,13799,2799,2384,-9166,2427,-14,-69,37,89,-58,-3476
466,13187,2624,1965,-7767,2558,-28,-95,74,172,-140,-3973
598,12259,2448,1671,-6799,2589,-39,-83,103,178,-239,-4270
861,11432,2228,1609,-5502,2560,-51,-55,165,233,-390,-4585
1383,10050,1990,1808,-4488,2507,-48,-30,188,383,-507,-4726
1972,8877,1885,2421,-3568,2558,-38,-13,206,727,-658,-4768
2746,7336,1773,2740,-2697,2596,-31,6,205,1091,-779,-4745
3395,6893,1602,3351,-1034,2471,-22,42,192,1429,-993,-4694
4288,6506,1290,3973,1066,2249,-32,58,194,1201,-1182,-4609
